paragraph_id,paragraph_sequence,date_set_or_published,date_sent,issue_id,number_as_printed,post,first_city,first_city_id,first_is_location,second_city,second_city_id,second_is_location,lines_count,domestic_or_foreign,category_primary,category_secondary,notes
1578,34,1645-12-16,NA,42,42,NA,3,NA,NA,NA,NA,NA,3,Domestic,Ireland;War & Conflict,NA,NA
6795,6,1648-09-30,NA,188,185,NA,"""A Place""",NA,NA,NA,NA,NA,14,Domestic,Diplomacy/Politics;Economics and Trade,NA,NA
242,2,1645-04-24,NA,9,9,NA,"""Near Oxford""",NA,NA,NA,NA,NA,14,Domestic,War & Conflict,NA,NA
1039,25,1645-09-15,NA,29,29,NA,"""Northern letters""",NA,NA,NA,NA,NA,12,Domestic,Diplomacy/Politics;War & Conflict,NA,NA
857,36,1645-08-13,NA,24,24,NA,"""Several parts""",NA,NA,NA,NA,NA,6,Domestic,War & Conflict,NA,NA
8423,3,1649-09-21,NA,239,236,NA,"""The Country""",NA,NA,NA,NA,NA,6,Domestic,Legal/Criminal,NA,NA
501,39,1645-06-10,NA,15,15,NA,#,NA,NA,NA,NA,NA,3,Domestic,War & Conflict,NA,NA
1124,30,1645-09-29,NA,31,31,NA,Aber-conwey,NA,NA,NA,NA,NA,6,Domestic,Diplomacy/Politics;War & Conflict,NA,NA
2010,42,1646-03-04,NA,53,53,NA,Aberyswyth,73,y,NA,NA,NA,8,Domestic,War & Conflict,NA,NA
2295,30,1646-04-25,NA,61,61,NA,Aberyswyth,73,y,NA,NA,NA,5,Domestic,War & Conflict,NA,NA
2319,53,1646-04-29,NA,61,61,NA,Aberyswyth,73,y,NA,NA,NA,5,Domestic,War & Conflict,NA,NA
105,12,1645-03-22,NA,4,4,NA,Abingdon,185,y,NA,NA,NA,3,Domestic,Legal/Criminal;Other (explained in notes),NA,300 women thrown out of oxford
296,28,1645-05-06,NA,10,10,NA,Abingdon,185,y,NA,NA,NA,5,Domestic,War & Conflict,NA,NA
595,25,1645-06-28,NA,18,18,NA,Abingdon,185,y,NA,NA,NA,12,Domestic,War & Conflict,NA,"""Passages from Colonel or Major Generall Brown"" - sources?"
1577,33,1645-12-16,NA,42,42,NA,Abingdon,185,y,NA,NA,NA,9,Domestic,War & Conflict,NA,NA
1627,4,1645-12-25,NA,44,44,NA,Abingdon,185,y,NA,NA,NA,6,Domestic,War & Conflict,NA,NA
1787,45,1646-01-21,NA,47,47,NA,Abingdon,185,y,NA,NA,NA,13,Domestic,Economics and Trade;War & Conflict,NA,NA
