city_id,label_old,country2,lng,lat,wiki_title,wikidata_id,year,population,religion,distance_from_london
417,Osnabruck,Germany,52.27888889,8.043055556,Osnabrück,Q2916,NA,NA,both,350.3774333
419,Ober-Ingelheim,Germany,49.9634,8.05942,Ober-Ingelheim,Q2008825,NA,NA,both,357.147752
422,Oldemburgh,Germany,53.14388889,8.213888889,Oldenburg,Q2936,NA,NA,both,372.8068117
472,Biberach,Germany,48.09805556,9.788611111,Biberach an der Riss,Q16069,NA,NA,both,479.546541
497,Ottingen,Germany,48.95,10.58333333,Oettingen in Bayern,Q556312,NA,NA,both,488.3128647
503,Augsburg,Germany,48.37166667,10.89833333,Augsburg,Q2749,NA,21000,both,516.5387482
506,Halberstat,Germany,51.89583333,11.04666667,Halberstadt,Q7072,NA,NA,both,474.6002311
507,Ebersdorf,Czech Republic,49.42783697,15.55937544,Hybrálec,Q25845,NA,NA,both,483.9562092
2,Dorr,France,42.48472222,1.938888889,Dorres,Q1093077,NA,NA,catholic,767.7867343
9,Lisbon,Portugal,38.71666667,-9.166666667,Lisbon,Q597,1650,170000,catholic,963.8365923
10,Galway,Ireland,53.2729,-9.0418,Galway,Q129610,NA,NA,catholic,418.7819771
11,Tines,Norway,NA,NA,TineStafetten,Q19392555,NA,NA,catholic,695.8847736
12,Viana,Spain,42.5151135,-2.3717803,Viana,Q907241,NA,NA,catholic,774.2836849
13,Bunratty,Ireland,52.7,-8.81666667,Bunratty,Q4997899,NA,NA,catholic,398.9686883
14,Mallow,Ireland,52.131,-8.6415,Mallow,Q922247,NA,NA,catholic,384.9387399
15,Limerick,Ireland,52.6653,-8.6238,Limerick,Q133315,1659,3105,catholic,390.7760788
16,Kinsale,Ireland,51.7075,-8.5305556,Kinsale,Q840681,NA,NA,catholic,376.6875749
18,Cork,Ireland,51.9,-8.473055556,Cork,Q36647,1659,4826,catholic,375.5749442
19,Tipperary,Ireland,52.474416,-8.161983,Tipperary,Q680220,NA,NA,catholic,368.5568213
20,Athlone,Ireland,53.42361111,-7.9425,Athlone,Q369911,NA,NA,catholic,379.6947636
21,Cahir,Ireland,52.375,-7.925,Cahir,Q516951,NA,NA,catholic,357.5172278
22,Cashel,Ireland,52.516717,-7.889428,Cashel,Q1002183,NA,NA,catholic,358.0026586
24,Thurles,Ireland,52.67888,-7.814369,Thurles,Q383188,NA,NA,catholic,357.668655
25,Enniskillen,United Kingdom,54.345306,-7.634061,Enniskillen,Q990109,NA,NA,catholic,397.0533857
26,Dungarvan,Ireland,52.0845,-7.6397,Dungarvan,Q581790,NA,NA,catholic,341.1701313
27,Waterford,Ireland,52.2583,-7.119,Waterford,Q183551,NA,NA,catholic,340.666057
28,Carrick-On-Suir,Ireland,52.346509,-7.411995,Carrick-on-Suir,Q1003187,NA,NA,catholic,335.678722
29,Cavan,Ireland,53.991019,-7.360067,Cavan,Q215361,NA,NA,catholic,375.0693989
31,Kilkenny,Ireland,52.6477,-7.2561,Kilkenny,Q109092,NA,4000,catholic,334.4118413
32,Elvas,Portugal,38.88,-7.162777778,Elvas,Q243849,NA,NA,catholic,912.5494263
33,Carlow,Germany,53.76666667,10.91666667,"Carlow, Germany",Q2054659,NA,NA,catholic,325.5714316
34,Athboy,Ireland,53.616667,-6.916667,Athboy,Q754964,NA,NA,catholic,346.9555778
35,Kildare,Ireland,53.156859,-6.909027,Kildare,Q917865,NA,NA,catholic,332.6769198
36,"Allen, Kildare",Ireland,53.235756,-6.857887,"Allen, County Kildare",Q3775817,NA,NA,catholic,332.9643129
37,Trim,Ireland,53.552241,-6.793413,Trim,Q1012496,NA,NA,catholic,340.0688335
38,"Binares, Spain",Chile,-35.8454,-71.5979,Linares,Q14494,NA,NA,catholic,1005.622674
42,Drogheda,Ireland,53.713889,-6.350278,Drogheda,Q207223,NA,NA,catholic,330.0276394
44,Cadiz,Spain,36.51666667,-6.283333333,Cádiz,Q15682,1694,31000,catholic,1052.065292
45,Rathfarnham,Ireland,53.29877778,-6.285447222,Rathfarnham,Q1317787,NA,NA,catholic,312.9997957
47,Scilly,United Kingdom,49.922,-6.296,"Rocky Hill, Isles of Scilly",Q7355801,NA,NA,catholic,292.439982
48,Dublin,Ireland,53.3425,-6.265833333,Dublin,Q1761,1682,64483,catholic,313.6011414
51,Seville,Spain,37.38333333,-5.983333333,Seville,Q8717,1644,120000,catholic,990.7895219
65,Malaga,Spain,36.71666667,-4.416666667,Malaga,Q8851,NA,NA,catholic,1015.175978
81,Madrid,Spain,40.41888889,-3.691944444,Madrid,Q2807,1650,125000,catholic,757.3863146
95,"Auray, Brittany",France,47.66527778,-2.97722222,Saint-Goustan,Q3398401,NA,NA,catholic,273.1537481
147,Saint-Malo,France,48.64722222,-2.008888889,Saint-Malo,Q163108,NA,NA,catholic,192.0932067
163,Rennes,France,48.11416667,-1.680833333,Rennes,Q647,NA,22000,catholic,219.4761098
167,"Brix, Manche",France,49.54527778,-1.578888889,Brix,Q681382,NA,NA,catholic,128.8973097
170,Nantes,France,47.21722222,-1.553888889,Nantes,Q12191,NA,40000,catholic,276.0200676
195,La Rochelle,France,46.15944444,-1.151388889,La Rochelle,Q82185,NA,NA,catholic,343.4640277
202,Cartagena,Chile,-33.55,-71.6,Cartagena,Q3738,1694,12000,catholic,930.3334581
221,Bordeaux,France,44.83777778,-0.579444444,Bordeaux,Q1479,1628,36000,catholic,431.0385302
222,Angers,France,47.47277778,-0.555555556,Angers,Q38380,1657,28000,catholic,249.7652035
223,Conde,France,50.44916667,3.590555556,Condé-sur-l'Escaut,Q494533,NA,NA,catholic,155.3738767
